feature,importance
bandpower_alpha_channel_10,0.09037653
bandpower_beta_channel_10,0.08933948
bandpower_alpha_channel_9,0.08208517
bandpower_theta_channel_11,0.07480083
bandpower_alpha_channel_1,0.069084816
bandpower_beta_channel_15,0.06256484
bandpower_beta_channel_9,0.059913
bandpower_alpha_channel_15,0.057014413
bandpower_alpha_channel_4,0.056281704
bandpower_beta_channel_7,0.054725155
bandpower_beta_channel_16,0.053855058
bandpower_alpha_channel_7,0.052974425
bandpower_alpha_channel_2,0.051040452
bandpower_alpha_channel_19,0.049439408
bandpower_alpha_channel_17,0.04935448
bandpower_alpha_channel_8,0.04715027
bandpower_alpha_channel_16,0.0
average_bandpower_alpha,0.0
bandpower_alpha_channel_13,0.0
bandpower_beta_channel_19,0.0
